lion 사자
cottage 시골집
cotton 목화
curtain	커어튼
curve 곡선
custody	보호
custom 습관
customer 고객
cut 베다
cute 귀여운
cycle 순환
cynical 냉소적인
dad 아빠
dairy 낙농장
dam 댐
degree 도
delay 늦추다
bankrupt 파산자
bar	막대기
bare 벌거벗은
bargain 매매
bark 짖다
barn 헛간
barrier	장벽
blast 돌풍
blend 혼합하다
bless 축복하다
enhance	향상하다
exist 존재하다
exit 출구
exotic 외국의
expand 펴다
expect 기대하다
expense 지출
access 접근
accident 사건
accommodate 수용하다
accompany 동반하다
base 기초
baseball 야구
basic 기본의
basis 기초
basket 바구니
basketball 농구
bat 배트
bath 목욕
bathroom 욕실
battery 전지
battle 전투
bitter 쓴
black 검은
blame 책망하다
blind	눈먼
by	곁에
cab	택시
cabin	선실
cable	해저전신
cage	새장
calculate	계산하다
calendar	달력
call	부르다
calm	평온한
chamber	방
chance	우연
change	변화
chaos	혼돈
character	인격
characteristic	특유한
charge	요금
charity	자비
charm	매력
chase	쫓다
chat	잡담
cheap	값싼
check	방해
cheek	볼
cheer	갈채
chef	쿡
chemical	화학의
chemistry	화학
chest	가슴팍
delegate	파견하다
delete	삭제하다
deliberate	숙고하다
accumulate	축적하다
accurate	정확한
accuse	고발하다
achieve	성취하다
admit	받아들이다
adolescent	청년기의
adopt	채용하다
adult	성인
advance	나아가다
band	그룹
bang	강타
bank	둑
chew	씹다
chief	우두머리
compulsory	의무적인
conceal	숨기다
conceive	상상하다
concentrate	집중하다
concept	개념
concern	관계하다
concert	연주회
conclude	결정하다
copyright	판권
cord	밧줄
core	핵심
corn	티눈
corner	모퉁이
corporate	법인조직의
correct	옳은
correspond	일치하다
corridor	복도
corrupt	타락한
cost	가격
costume	복장
dispute	논쟁하다
disrupt	분열시키다
distant	떨어진
distort	찌그러뜨리다
distract	전환시키다
distribute	분배하다
district	지구
encounter	조우
end	끝
endure	견디다
enemy	적
enforce	실시하다
engage	약속하다
engine	엔진
engineer 기사
blank	공백
blanket	담요
accomplish	이루다
accord	일치하다
account	설명하다
